弹体重量,弹体直径,弹体长度,侵彻速度,靶体抗压强度,弹体形状系数,侵彻深度
13.119,76.2,530.73,378.6,23.0,3.0,1.18
13.061,76.2,528.47,238.4,23.0,6.0,0.58
13.064,76.2,528.47,378.6,23.0,6.0,1.25
12.923,76.2,530.73,238.1,39.0,3.0,0.3
12.91,76.2,530.73,314.0,39.0,3.0,0.45
12.914,76.2,530.73,369.5,39.0,3.0,0.53
12.957,76.2,530.73,456.4,39.0,3.0,0.94
12.876,76.2,528.47,312.5,39.0,6.0,0.61
12.909,76.2,528.47,448.5,39.0,6.0,0.99
0.2461,25.0,160.7,348.0,9.0,6.0,0.2335
0.2461,25.0,160.7,819.0,9.0,6.0,1.247
0.2461,25.0,160.7,810.0,28.4,6.0,0.447
101.0,153.0,812.0,737.0,30.0,3.0,4.57
81.0,140.0,849.0,835.0,30.0,3.0,5.1
0.912,26.9,206.8,499.0,33.5,3.0,0.48
0.898,26.9,206.8,584.0,91.0,3.0,0.384
0.064,12.92,67.5,371.0,14.0,3.0,0.127
0.064,12.92,63.1,345.0,14.0,3.0,0.111
0.1018,15.0,105.0,1141.0,161.2,3.0,0.293
0.1018,15.0,105.0,740.0,161.2,3.0,0.136
0.1018,15.0,105.0,979.0,161.2,3.0,0.231
0.1018,15.0,105.0,1271.0,161.2,3.0,0.372
0.1018,15.0,105.0,658.0,161.2,3.0,0.127
0.1018,15.0,105.0,1318.0,161.2,3.0,0.372
0.1018,15.0,105.0,892.0,161.2,3.0,0.196
0.1018,15.0,105.0,728.0,117.9,3.0,0.177
0.1018,15.0,105.0,959.0,117.9,3.0,0.262
0.1018,15.0,105.0,1276.0,117.9,3.0,0.394
0.1018,15.0,105.0,1337.0,117.9,3.0,0.443
0.1018,15.0,105.0,633.0,117.9,3.0,0.136
0.1018,15.0,105.0,748.0,117.9,3.0,0.17
0.1018,15.0,105.0,889.0,117.9,3.0,0.222
0.1,15.0,105.0,1002.0,60.0,3.0,0.385
0.1,15.0,105.0,1090.0,60.0,3.0,0.415
0.1,15.0,105.0,1218.0,60.0,3.0,0.529
0.1,15.0,105.0,1172.0,60.0,3.0,0.4
0.1,15.0,105.0,1257.0,60.0,3.0,0.54
0.1,15.0,105.0,883.0,60.0,3.0,0.21
0.1,15.0,105.0,986.0,60.0,3.0,0.24
0.1,15.0,105.0,1081.0,35.0,3.0,0.945
0.1,15.0,105.0,1000.0,35.0,3.0,0.795
0.1,15.0,105.0,873.0,35.0,3.0,0.63
0.1,15.0,105.0,982.0,35.0,3.0,0.985
0.104,15.0,105.0,576.0,35.0,3.0,0.231
0.10305,15.0,105.0,721.0,35.0,3.0,0.29
0.10526,15.0,105.0,996.0,35.0,3.0,0.315
0.10275,15.0,105.0,1097.0,35.0,3.0,0.24
0.10355,15.0,105.0,1180.0,35.0,3.0,0.243
0.08982,15.0,105.0,1031.0,35.0,3.0,0.51
0.09082,15.0,105.0,1373.0,35.0,3.0,0.79
0.08521,15.0,105.0,842.0,35.0,3.0,0.454
0.08546,15.0,105.0,1045.0,35.0,3.0,0.667
0.11084,15.0,105.0,498.0,35.0,3.0,0.189
0.10168,15.0,105.0,1000.0,35.0,3.0,0.795
0.10115,15.0,105.0,1081.0,35.0,3.0,0.945
0.10176,15.0,105.0,590.0,35.0,3.0,0.293
0.10176,15.0,105.0,788.0,35.0,3.0,0.5
0.12734,15.0,105.0,664.0,35.0,3.0,0.495
0.12761,15.0,105.0,822.0,35.0,3.0,0.73
0.12769,15.0,105.0,1010.0,35.0,3.0,0.827
0.1275,15.0,105.0,1142.0,35.0,3.0,0.79
0.12762,15.0,105.0,1269.0,35.0,3.0,0.89
0.3295,25.3,151.9,554.0,75.0,3.0,0.232
0.3292,25.3,151.9,692.0,75.0,3.0,0.343
0.3291,25.3,151.9,798.0,75.0,3.0,0.414
0.3296,25.3,151.9,549.0,120.0,3.0,0.14
0.3294,25.3,151.9,806.0,120.0,3.0,0.274
0.3296,25.3,151.9,553.0,140.0,3.0,0.129
0.3289,25.3,151.9,683.0,140.0,3.0,0.166
0.329,25.3,151.9,808.0,140.0,3.0,0.208
0.043,12.0,72.0,1225.0,41.8,3.0,0.524
0.043,12.0,72.0,1335.0,41.8,3.0,0.564
0.043,12.0,72.0,1457.0,41.8,3.0,0.65
0.05,10.0,40.0,805.0,40.0,4.0,0.172
0.05,10.0,40.0,920.0,40.0,4.0,0.186
0.05,10.0,40.0,1051.0,40.0,4.0,0.201
0.05,10.0,40.0,802.0,40.0,3.0,0.132
0.05,10.0,40.0,924.0,40.0,3.0,0.176
0.05,10.0,40.0,1048.0,40.0,3.0,0.193
0.344797,25.0,150.0,508.0,52.0,3.0,0.168
0.333085,25.0,150.0,501.0,52.0,3.0,0.158
0.341293,25.0,150.0,858.0,52.0,3.0,0.346
0.341065,25.0,150.0,508.0,180.0,3.0,0.134
0.34162,25.0,150.0,503.0,180.0,3.0,0.133
0.345588,25.0,150.0,846.0,180.0,3.0,0.288
0.344132,25.0,150.0,849.0,180.0,3.0,0.268
0.0939,16.7,70.0,414.0,40.0,3.0,0.118
0.0939,16.7,70.0,160.0,40.0,3.0,0.16
0.0939,16.7,70.0,254.0,40.0,3.0,0.254
0.0939,16.7,70.0,345.0,40.0,3.0,0.345
17.3,100.0,649.0,503.0,40.0,3.0,0.86
20.1,105.0,706.0,325.0,40.0,3.0,0.52
17.3,100.0,649.0,357.0,100.0,3.0,0.35
17.3,100.0,649.0,510.0,100.0,3.0,0.51
0.3529,25.0,151.3,511.5,120.0,3.0,0.129
0.3529,25.0,151.3,552.5,120.0,3.0,0.2574
0.3529,25.0,151.3,560.0,120.0,3.0,0.2903
0.13175,15.0,105.0,1089.0,40.0,3.0,1.055
0.1037,15.0,105.0,1066.0,38.0,3.0,0.885
0.10323,15.0,105.0,1193.0,35.0,3.0,0.935
0.10307,15.0,105.0,1230.0,39.0,3.0,1.1185
0.10014,15.0,105.0,1240.0,34.0,3.0,1.195
0.09929,15.0,105.0,1083.0,33.0,3.0,0.885
0.10358,15.0,105.0,1242.0,39.0,3.0,1.075
0.10353,15.0,105.0,1172.0,32.0,3.0,1.02
0.10355,15.0,105.0,1258.0,32.0,3.0,1.115
0.10333,15.0,105.0,1093.0,33.0,3.0,0.935
0.15,22.0,100.0,1030.0,36.3,4.5,0.455
0.15,22.0,100.0,1210.0,36.3,4.5,0.595
0.15,22.0,100.0,1352.0,36.3,4.5,0.698
0.15,22.0,100.0,1390.0,36.3,4.5,0.741
0.15,22.0,100.0,1438.0,36.3,4.5,0.674
0.15,22.0,100.0,1463.0,36.3,4.5,0.73
